"tournament","date","Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"LEC 2025 Winter","2025-02-02","Karmine Corp",8,6,2,33.1,137,96,1.43,0.88,0.07,"2.3%",43.8,31.2,-602,"25%","38%","50%",5.5,"38%","48%","50%","56%","100%","25%","38%","50.6%","52.9%",3.53,1.21,1.59
"LEC 2025 Winter","2025-02-02","Movistar KOI",8,5,3,33.6,123,104,1.18,0.84,0.69,"5.2%",61.7,0.8,1016,"63%","100%","88%",4.8,"100%","60%","63%","64%",,"75%","70%","49.3%","53.7%",3.44,1.45,1.82
"LEC 2025 Winter","2025-02-02","Rogue",8,1,7,37.4,79,133,0.59,0.71,-0.85,"-4.9%",47.3,-34.8,-595,"50%","38%","38%",4.1,"38%","60%","38%","38%","25%","25%","42%","49.0%","44.8%",3.62,1.19,1.42
"LEC 2025 Winter","2025-02-02","SK Gaming",8,1,7,29.7,56,125,0.45,0.76,-0.97,"-9.2%",41.6,-29.1,-533,"50%","50%","50%",5.9,"50%","46%","63%","42%",,"13%","13%","49.3%","47.7%",3.13,1.21,1.3
"LEC 2025 Winter","2025-02-02","Team BDS",8,3,5,35.8,106,112,0.95,0.76,-0.35,"-3.9%",46.2,-8.7,-375,"50%","50%","50%",3.1,"63%","52%","50%","54%",,"38%","40%","50.7%","46.5%",3.25,1.24,1.62
"LEC 2025 Winter","2025-02-02","Team Heretics",8,3,5,34.5,84,125,0.67,0.76,-1.42,"-7.1%",37.7,-0.2,-1003,"38%","13%","25%",2.3,"38%","40%","38%","33%",,"25%","40%","49.7%","47.6%",3.45,1.27,1.59
"LEC 2025 Winter","2025-02-02","Team Vitality",8,4,4,35.6,110,114,0.96,0.78,-0.04,"0.4%",48.1,1.9,-152,"63%","75%","38%",4,"63%","52%","50%","54%","50%","75%","55%","49.8%","47.8%",3.38,1.29,1.45
"LEC 2025 Winter","2025-02-03","Fnatic",9,8,1,30.9,164,84,1.95,0.89,1.61,"11.2%",67.1,21.8,1590,"44%","44%","56%",6.2,"33%","44%","56%","67%",,"67%","70%","51.3%","57.2%",3.13,0.86,1.38
"LEC 2025 Winter","2025-02-03","G2 Esports",9,6,3,32.1,143,98,1.46,0.83,1.24,"6.8%",63.2,3.5,1206,"44%","44%","78%",6.4,"44%","50%","56%","55%","0%","44%","60%","50.0%","53.6%",2.9,1.02,1.45
"LEC 2025 Winter","2025-02-03","GiantX",9,5,4,36.5,133,126,1.06,0.79,0.16,"-0.7%",46.7,8.9,-381,"56%","44%","33%",3.7,"44%","44%","44%","42%","75%","67%","60%","50.5%","47.1%",3.2,1.13,1.56
"LEC 2025 Winter","2025-02-03","Karmine Corp",9,6,3,32.6,142,114,1.25,0.87,-0.02,"1.9%",42.7,23.9,-535,"22%","44%","56%",5.3,"33%","46%","44%","51%","100%","22%","33%","50.5%","52.2%",3.48,1.19,1.55
"LEC 2025 Winter","2025-02-03","Movistar KOI",9,6,3,33.5,148,114,1.3,0.87,0.89,"6.4%",63.8,2.9,1236,"67%","100%","89%",5,"100%","57%","56%","63%",,"78%","73%","49.4%","54.4%",3.44,1.4,1.85
"LEC 2025 Winter","2025-02-03","Rogue",9,1,8,36.8,89,158,0.56,0.74,-1.02,"-6.1%",44.2,-33.1,-861,"44%","33%","33%",4,"33%","61%","44%","39%","25%","22%","38%","49.1%","44.2%",3.62,1.19,1.41
"LEC 2025 Winter","2025-02-03","SK Gaming",9,1,8,29.6,59,146,0.4,0.77,-1.19,"-11.1%",38.3,-27.2,-760,"56%","56%","44%",6.2,"44%","48%","56%","37%",,"11%","11%","49.3%","46.9%",3.15,1.21,1.25
"LEC 2025 Winter","2025-02-03","Team BDS",9,4,5,35.1,124,117,1.06,0.76,-0.24,"-3.3%",48.4,-3.9,-332,"56%","44%","44%",3.1,"67%","54%","56%","58%",,"44%","45%","50.7%","47.3%",3.26,1.23,1.61
"LEC 2025 Winter","2025-02-03","Team Heretics",9,3,6,33.8,92,146,0.63,0.78,-1.5,"-7.7%",35.9,-2.5,-1241,"44%","11%","22%",2.2,"44%","43%","44%","36%",,"22%","40%","49.5%","47.9%",3.42,1.27,1.54
"LEC 2025 Winter","2025-02-03","Team Vitality",9,5,4,35.1,129,123,1.05,0.79,0.2,"2.7%",49.9,5.7,79,"67%","78%","44%",4.3,"56%","52%","44%","53%","50%","78%","58%","49.8%","49.2%",3.35,1.28,1.41
"LEC 2025 Winter Playoffs","2025-02-15","Fnatic",2,2,0,29.8,35,11,3.18,0.77,1.55,"13.5%",75.6,24.4,1918,"100%","50%","50%",5.5,"100%","50%","50%","75%",,"50%","100%","50.7%","50.9%",3.14,0.91,1.26
"LEC 2025 Winter Playoffs","2025-02-15","G2 Esports",2,2,0,36.5,28,23,1.22,0.7,1.14,"4.0%",72.4,27.6,1534,"50%","0%","100%",8,"50%","25%","100%","70%",,"50%","100%","50.5%","55.0%",3.11,1.07,1.95
"LEC 2025 Winter Playoffs","2025-02-15","GiantX",2,0,2,36.5,23,28,0.82,0.7,-1.14,"-4.0%",27.6,-27.6,-1534,"50%","100%","0%",4.5,"50%","75%","0%","30%",,"0%","0%","49.5%","45.0%",3.41,1.29,1.76
