Player;Country;Games;Win rate;KDA;Avg kills;Avg deaths;Avg assists;CSM;GPM;KP%;DMG%;DPM;VSPM;Avg WPM;Avg WCPM;Avg VWPM;GD@15;CSD@15;XPD@15;FB %;FB Victim;Penta Kills;Solo Kills
Niket; CN;20;30%;1.7;0.5;4.8;7.8;1.1;227;65.3%;6.9;164;3.59;1.97;0.4;0.59;-169;-;-;-;-;-;-
Nikiyas; GR;26;26.9%;3.5;4.0;2.8;5.8;8.6;420;62.2%;25.2;644;0.81;0.32;0.2;0.05;-182;-6;-206;7.7%;7.7%;1;3
Nille; FI;27;70.4%;3.2;3.3;2.9;5.9;7.8;398;51.7%;21.4;583;0.95;0.5;0.11;0.18;182;4;25;3.7%;18.5%;0;8
Ninji; RO;4;0%;0.8;1.5;5.3;2.5;7.8;339;37.1%;24.3;572;0.5;0.3;0.1;0.01;-599;-6;-810;0%;0%;0;1
Nino; GR;16;31.3%;2.2;2.8;3.6;5.1;7.9;380;56%;21.4;562;0.88;0.42;0.14;0.11;-515;-12;-248;18.8%;18.8%;0;10
Nio; DE;21;76.2%;2.9;1.6;5.6;14.8;0.8;282;67.8%;8.6;303;2.88;1.31;0.3;0.3;155;-9;-361;38.1%;14.3%;0;3
Nisqy; BE;21;42.9%;2.2;1.0;4.9;9.5;1.0;243;72.3%;8.4;218;3.58;1.88;0.41;0.55;-5;1;-35;42.9%;33.3%;0;1
NoDu; SE;7;0%;1.5;0.4;4.3;6.1;1.0;219;72.1%;9.3;194;2.89;1.39;0.32;0.32;-162;2;-105;28.6%;14.3%;0;-
Noah; KR;25;44%;3.7;3.8;2.3;4.8;9.5;432;66.6%;26.7;668;1.21;0.43;0.34;0.18;-20;0;-62;16%;8%;0;-
Noma; PT;21;47.6%;2.9;3.9;4.0;7.6;7.7;397;55.1%;27.3;774;0.83;0.34;0.15;0.09;-52;0;-72;19%;9.5%;0;14
Noodle; SE;17;58.8%;4.0;3.6;2.9;8.1;5.7;358;70.9%;17.3;488;1.08;0.28;0.16;0.17;419;-0;154;29.4%;5.9%;0;7
Notiko; DE;19;42.1%;3.3;4.8;2.9;4.7;8.8;430;66.5%;27.6;653;0.82;0.32;0.22;0.08;-161;-9;-205;21.1%;10.5%;0;4
NowFin; CH;9;44.4%;2.5;3.7;4.4;7.3;6.4;377;65.6%;15.9;434;1.11;0.24;0.23;0.17;79;1;-11;33.3%;22.2%;0;2
Noway; DE;18;61.1%;3.6;4.3;3.1;6.8;8.5;427;60.4%;27.0;786;0.84;0.38;0.13;0.13;-291;-7;-181;11.1%;11.1%;0;11
Nsurr; FR;14;35.7%;2.4;0.3;4.4;10.2;1.2;244;72.7%;8.0;203;3.62;1.64;0.55;0.38;-130;3;-76;14.3%;21.4%;0;-
NuQ; TR;39;69.2%;2.9;4.1;4.1;7.6;7.2;391;58.4%;21.8;657;0.9;0.33;0.13;0.15;-52;-8;-10;15.4%;12.8%;0;20
Nvillada; AR;17;52.9%;2.4;3.2;3.2;4.6;7.6;384;59.5%;22.5;617;0.71;0.3;0.11;0.04;-149;-5;-121;5.9%;17.6%;0;4
Nyx; ES;12;33.3%;2.3;2.4;4.2;7.3;5.8;333;77.7%;16.2;435;1.29;0.34;0.26;0.22;-395;-7;-385;50%;0%;0;1
OMON; CZ;49;65.3%;4.3;4.2;2.7;7.2;8.4;414;71.7%;26.1;674;0.91;0.34;0.19;0.14;112;0;95;20.4%;10.2%;0;26
ON; CN;91;62.6%;3.4;1.0;3.8;11.8;1.1;262;73.5%;8.8;247;3.73;1.97;0.48;0.61;158;-1;-37;11%;2.2%;0;1
OSaKi; JP;17;52.9%;2.6;0.9;4.2;10.1;0.9;251;70.9%;7.9;206;3.11;1.57;0.39;0.58;-84;-4;-120;17.6%;5.9%;0;-
Obstinatus; PT;14;50%;2.6;1.0;4.0;9.4;1.3;259;72.4%;7.4;199;3.67;1.63;0.54;0.45;275;3;-42;35.7%;14.3%;0;1
Oceann; PT;7;0%;1.2;1.7;5.1;4.3;7.6;356;55.4%;19.6;439;0.57;0.3;0.12;0.04;-1421;-27;-876;0%;14.3%;0;2
Oddielan; PE;17;41.2%;4.3;2.2;2.4;8.2;6.2;342;76.9%;15.6;396;1.37;0.33;0.27;0.26;-165;-4;-276;41.2%;5.9%;0;-
Odessa; JP;9;33.3%;2.6;0.7;4.4;10.7;1.0;237;78.5%;7.2;204;2.95;1.43;0.32;0.31;17;1;-23;22.2%;11.1%;0;-
OkerumoN; JP;9;11.1%;1.9;0.7;5.2;9.1;1.1;239;73%;10.3;237;3.0;1.52;0.36;0.51;-139;7;91;33.3%;11.1%;0;-
Oleg; RU;23;56.5%;3.2;4.2;3.5;7.2;7.3;401;68.9%;20.5;598;1.08;0.24;0.19;0.2;425;16;780;8.7%;4.3%;0;8
Oner; KR;72;61.1%;4.5;3.8;2.7;8.3;6.8;386;75.8%;17.6;501;1.51;0.33;0.34;0.25;137;2;129;36.1%;1.4%;0;11
