tournament;date;Team;GP;AGT;KD;CKPM;GPR;GSPD;EGR;MLR;GD15;FB%;FT%;F3T%;PPG;HLD%;GRB%;FD%;DRG%;ELD%;FBN%;BN%;LNE%;JNG%;WPM;CWPM;WCPM;winrate%
LEC 2025 Winter;2025-02-02;SK Gaming;8;29.7;0.45;0.76;-0.97;-0.092;41.6;-29.1;-533.0;0.5;0.5;0.5;5.9;0.5;0.46;0.63;0.42;;0.13;0.13;0.493;0.47700000000000004;3.13;1.21;1.3;0.125
LEC 2025 Winter;2025-02-02;Team BDS;8;35.8;0.95;0.76;-0.35;-0.039;46.2;-8.7;-375.0;0.5;0.5;0.5;3.1;0.63;0.52;0.5;0.54;;0.38;0.4;0.507;0.465;3.25;1.24;1.62;0.375
LEC 2025 Winter;2025-02-02;Team Heretics;8;34.5;0.67;0.76;-1.42;-0.071;37.7;-0.2;-1003.0;0.38;0.13;0.25;2.3;0.38;0.4;0.38;0.33;;0.25;0.4;0.49700000000000005;0.47600000000000003;3.45;1.27;1.59;0.375
LEC 2025 Winter;2025-02-02;Team Vitality;8;35.6;0.96;0.78;-0.04;0.004;48.1;1.9;-152.0;0.63;0.75;0.38;4.0;0.63;0.52;0.5;0.54;0.5;0.75;0.55;0.498;0.478;3.38;1.29;1.45;0.5
LEC 2025 Winter;2025-02-03;Fnatic;9;30.9;1.95;0.89;1.61;0.11199999999999999;67.1;21.8;1590.0;0.44;0.44;0.56;6.2;0.33;0.44;0.56;0.67;;0.67;0.7;0.513;0.5720000000000001;3.13;0.86;1.38;0.8888888888888888
LEC 2025 Winter;2025-02-03;G2 Esports;9;32.1;1.46;0.83;1.24;0.068;63.2;3.5;1206.0;0.44;0.44;0.78;6.4;0.44;0.5;0.56;0.55;0.0;0.44;0.6;0.5;0.536;2.9;1.02;1.45;0.6666666666666666
LEC 2025 Winter;2025-02-03;GiantX;9;36.5;1.06;0.79;0.16;-0.006999999999999999;46.7;8.9;-381.0;0.56;0.44;0.33;3.7;0.44;0.44;0.44;0.42;0.75;0.67;0.6;0.505;0.47100000000000003;3.2;1.13;1.56;0.5555555555555556
LEC 2025 Winter;2025-02-03;Karmine Corp;9;32.6;1.25;0.87;-0.02;0.019;42.7;23.9;-535.0;0.22;0.44;0.56;5.3;0.33;0.46;0.44;0.51;1.0;0.22;0.33;0.505;0.522;3.48;1.19;1.55;0.6666666666666666
LEC 2025 Winter;2025-02-03;Movistar KOI;9;33.5;1.3;0.87;0.89;0.064;63.8;2.9;1236.0;0.67;1.0;0.89;5.0;1.0;0.57;0.56;0.63;;0.78;0.73;0.494;0.544;3.44;1.4;1.85;0.6666666666666666
LEC 2025 Winter;2025-02-03;Rogue;9;36.8;0.56;0.74;-1.02;-0.061;44.2;-33.1;-861.0;0.44;0.33;0.33;4.0;0.33;0.61;0.44;0.39;0.25;0.22;0.38;0.491;0.442;3.62;1.19;1.41;0.1111111111111111
LEC 2025 Winter;2025-02-03;SK Gaming;9;29.6;0.4;0.77;-1.19;-0.111;38.3;-27.2;-760.0;0.56;0.56;0.44;6.2;0.44;0.48;0.56;0.37;;0.11;0.11;0.493;0.469;3.15;1.21;1.25;0.1111111111111111
LEC 2025 Winter;2025-02-03;Team BDS;9;35.1;1.06;0.76;-0.24;-0.033;48.4;-3.9;-332.0;0.56;0.44;0.44;3.1;0.67;0.54;0.56;0.58;;0.44;0.45;0.507;0.473;3.26;1.23;1.61;0.4444444444444444
LEC 2025 Winter;2025-02-03;Team Heretics;9;33.8;0.63;0.78;-1.5;-0.077;35.9;-2.5;-1241.0;0.44;0.11;0.22;2.2;0.44;0.43;0.44;0.36;;0.22;0.4;0.495;0.479;3.42;1.27;1.54;0.3333333333333333
LEC 2025 Winter;2025-02-03;Team Vitality;9;35.1;1.05;0.79;0.2;0.027000000000000003;49.9;5.7;79.0;0.67;0.78;0.44;4.3;0.56;0.52;0.44;0.53;0.5;0.78;0.58;0.498;0.49200000000000005;3.35;1.28;1.41;0.5555555555555556
LEC 2025 Winter Playoffs;2025-02-15;Fnatic;2;29.8;3.18;0.77;1.55;0.135;75.6;24.4;1918.0;1.0;0.5;0.5;5.5;1.0;0.5;0.5;0.75;;0.5;1.0;0.507;0.509;3.14;0.91;1.26;1.0
LEC 2025 Winter Playoffs;2025-02-15;G2 Esports;2;36.5;1.22;0.7;1.14;0.04;72.4;27.6;1534.0;0.5;0.0;1.0;8.0;0.5;0.25;1.0;0.7;;0.5;1.0;0.505;0.55;3.11;1.07;1.95;1.0
LEC 2025 Winter Playoffs;2025-02-15;GiantX;2;36.5;0.82;0.7;-1.14;-0.04;27.6;-27.6;-1534.0;0.5;1.0;0.0;4.5;0.5;0.75;0.0;0.3;;0.0;0.0;0.495;0.45;3.41;1.29;1.76;0.0
LEC 2025 Winter Playoffs;2025-02-15;Team Heretics;2;29.8;0.31;0.77;-1.55;-0.135;24.4;-24.4;-1918.0;0.0;0.5;0.5;5.5;0.0;0.5;0.5;0.25;;0.0;0.0;0.493;0.491;2.82;1.19;1.21;0.0
LEC 2025 Winter Playoffs;2025-02-16;Fnatic;2;29.8;3.18;0.77;1.55;0.135;75.6;24.4;1918.0;1.0;0.5;0.5;5.5;1.0;0.5;0.5;0.75;;0.5;1.0;0.507;0.509;3.14;0.91;1.26;1.0
LEC 2025 Winter Playoffs;2025-02-16;G2 Esports;2;36.5;1.22;0.7;1.14;0.04;72.4;27.6;1534.0;0.5;0.0;1.0;8.0;0.5;0.25;1.0;0.7;;0.5;1.0;0.505;0.55;3.11;1.07;1.95;1.0
LEC 2025 Winter Playoffs;2025-02-16;GiantX;2;36.5;0.82;0.7;-1.14;-0.04;27.6;-27.6;-1534.0;0.5;1.0;0.0;4.5;0.5;0.75;0.0;0.3;;0.0;0.0;0.495;0.45;3.41;1.29;1.76;0.0
LEC 2025 Winter Playoffs;2025-02-16;Karmine Corp;2;38.8;1.54;0.92;2.41;0.115;92.2;7.8;4301.0;1.0;1.0;1.0;9.0;1.0;0.92;0.0;0.78;1.0;0.5;1.0;0.493;0.573;3.21;1.16;1.7;1.0
LEC 2025 Winter Playoffs;2025-02-16;Movistar KOI;2;35.8;1.76;0.96;1.42;0.156;57.2;42.8;1254.0;0.5;0.5;0.5;7.5;0.5;0.67;1.0;0.64;;1.0;1.0;0.508;0.598;4.04;1.72;1.85;1.0
LEC 2025 Winter Playoffs;2025-02-16;Team BDS;2;35.8;0.57;0.96;-1.42;-0.156;42.8;-42.8;-1254.0;0.5;0.5;0.5;5.0;0.5;0.33;0.0;0.36;;0.0;0.0;0.49200000000000005;0.402;3.26;1.21;1.63;0.0
LEC 2025 Winter Playoffs;2025-02-16;Team Heretics;2;29.8;0.31;0.77;-1.55;-0.135;24.4;-24.4;-1918.0;0.0;0.5;0.5;5.5;0.0;0.5;0.5;0.25;;0.0;0.0;0.493;0.491;2.82;1.19;1.21;0.0
